Time,Time Code,Country Name,Country Code,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population) [SI.POV.DDAY],GDP per capita (current US$) [NY.GDP.PCAP.CD],GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],Secure Internet servers (per 1 million people) [IT.NET.SECR.P6],"Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]",Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],Domestic general government health expenditure per capita (current US$) [SH.XPD.GHED.PC.CD],Domestic private health expenditure per capita (current US$) [SH.XPD.PVTD.PC.CD],External health expenditure per capita (current US$) [SH.XPD.EHEX.PC.CD]
2020,YR2020,Botswana,BWA,..,5875.070606,-10.40331706,243.4808015,29,6.18664551,270.9824704,71.20731592,20.54472253
2020,YR2020,Brazil,BRA,1.9,6923.700197,-3.918004172,3077.966117,13.1,10.31291676,313.5774769,386.1161886,1.01906998
2020,YR2020,British Virgin Islands,VGB,..,..,..,724943.384,10.3,..,..,..,..
2020,YR2020,Brunei Darussalam,BRN,..,27179.34442,0.291718917,15597.93989,9.6,2.39377809,611.732407,38.74578466,0
2020,YR2020,Bulgaria,BGR,0.2,10153.4766,-3.380400724,48076.18674,5.4,8.52063847,512.651434,326.6649137,17.38454994
2020,YR2020,Burkina Faso,BFA,..,833.2443361,-0.773847474,5.807841478,53,6.71932602,23.54473671,20.79570924,9.83648267
2020,YR2020,Burundi,BDI,..,216.8274174,-2.508461168,8.428648666,38.8,6.50141716,6.07196312,5.25984739,5.08841473
2020,YR2020,Cambodia,KHM,..,1577.91174,-4.213653755,192.2319273,22.1,7.50527,32.05111531,75.96299713,7.75052962
2020,YR2020,Cameroon,CMR,..,1539.130547,-2.422434418,16.76035415,48.5,3.76582599,9.44745207,41.64582426,6.91206846
2020,YR2020,Canada,CAN,..,43349.67786,-6.088212049,39881.2424,4.5,12.93967533,4212.77856,1406.637295,0
2020,YR2020,Cabo Verde,CPV,..,3223.735602,-20.07982255,169.9162433,12.2,6.01976061,108.3079496,44.64288954,23.07332571
2020,YR2020,Central African Republic,CAF,..,435.4692482,-1.624775579,1.122960423,77.2,9.40206814,5.42784934,22.13206152,14.40061867
2020,YR2020,Chad,TCD,..,643.7722162,-4.66133902,1.261662796,67.6,5.40748835,5.98552348,21.35025447,7.46552896
2020,YR2020,Chile,CHL,0.7,13165.38634,-7.413626946,12791.29382,5.9,9.75300503,720.8526276,557.3261981,0
2020,YR2020,China,CHN,0.1,10408.71912,1.995558042,948.4586493,5.5,5.59359694,319.2769692,264.1537745,0.00142376
2020,YR2020,Colombia,COL,9.4,5304.289129,-8.605811527,405.3746641,11.4,8.99294186,346.7855376,130.4892565,..
2020,YR2020,Comoros,COM,..,1519.58678,-2.074861396,9.923514512,40.4,5.34622765,11.69849223,58.42786121,10.69804354
2020,YR2020,Costa Rica,CRI,2.3,12179.25667,-4.994101584,1312.094911,6.7,7.855371,684.3743086,267.414059,1.29420153
2020,YR2020,Cote d'Ivoire,CIV,..,2349.069882,-0.782841474,55.68445822,57.5,3.72245775,31.30802898,42.33021474,11.5360353
2020,YR2020,Croatia,HRV,0.3,14236.53525,-8.183444642,22352.0634,4,7.76502275,896.2018022,198.3071446,0.02416667
2020,YR2020,Cuba,CUB,..,9499.590202,-10.8222658,68.57983463,4.1,12.48644733,1079.691226,105.8052766,0.66483627
2020,YR2020,Cyprus,CYP,0,28035.98438,-5.450317794,24379.87713,2.3,8.0934782,1757.317176,482.4874658,5.5562378
2020,YR2020,Czechia,CZE,0,22992.87938,-5.732526894,67601.75729,2.3,9.24007225,1853.101234,266.7472925,0
2020,YR2020,"Congo, Dem. Rep.",COD,..,524.6666863,-1.49268943,3.715543824,64.1,4.05092573,3.41377304,9.87405259,7.96603222
2020,YR2020,Denmark,DNK,0.2,60915.4244,-2.280015264,277081.8143,3.2,10.52817535,5463.455525,974.9374802,0
2020,YR2020,Djibouti,DJI,..,2917.996281,-0.298338539,44.94769556,47.2,2.00786304,31.48001066,17.68380921,13.64555545
2020,YR2020,Dominica,DMA,..,7003.469891,-17.26169347,46919.92499,31.7,5.64582825,265.736028,128.5385154,32.38983395
2020,YR2020,Dominican Republic,DOM,1,7167.914932,-7.719058679,125.0038183,27.8,4.94000483,232.4789457,118.7911018,2.8252727
2020,YR2020,Ecuador,ECU,6.5,5645.19929,-9.07131767,381.5540696,11.1,8.47677135,280.5713509,197.2108465,0.74781412
2020,YR2020,"Egypt, Arab Rep.",EGY,..,3571.556907,1.770968731,41.90196236,16.8,4.36497974,48.17892885,101.0356512,1.69197026
2020,YR2020,El Salvador,SLV,..,3961.726633,-8.061580857,139.2082388,11.1,9.85177708,228.4239467,155.6210882,1.69835791
2020,YR2020,Equatorial Guinea,GNQ,..,6327.598962,-6.822442154,29.44771746,58.8,3.7683413,53.03388615,180.1683702,3.4182037
2020,YR2020,Eritrea,ERI,..,..,..,0.843675862,29.7,4.09359646,4.95900001,10.85144528,8.1708812
2020,YR2020,Estonia,EST,0.3,23595.24368,-0.747277944,84354.37699,1.7,7.75206661,1377.963332,409.5736226,0.32947854
2020,YR2020,Eswatini,SWZ,..,3372.904639,-2.480299705,108.4143971,44.2,6.51153374,115.8782565,54.02208707,49.20355871
2020,YR2020,Ethiopia,ETH,..,918.6525941,3.280847984,5.580637563,35.4,3.48096275,8.10198233,10.7091837,9.88554346
2020,YR2020,Fiji,FJI,..,4864.106008,-17.17670889,258.577044,23.1,3.74984646,127.6994382,52.75112862,5.91513924
2020,YR2020,Finland,FIN,0,49169.71934,-2.495122968,81650.50891,1.8,9.61349583,3844.344802,881.5053407,0.28919152
2020,YR2020,France,FRA,0.1,39055.28293,-8.034474295,36123.8717,3.4,12.20504951,3658.529569,1110.207657,..
2020,YR2020,Gabon,GAB,..,6680.08267,-3.969558634,42.74673042,29.8,3.42724609,126.9268528,77.36692822,24.68235515
2020,YR2020,"Gambia, The",GMB,17.2,704.0304578,-1.953083669,27.19508002,34.9,2.6129365,9.70437679,6.86148425,2.01512863
2020,YR2020,Georgia,GEO,5.8,4255.742993,-6.824432632,3497.446488,8.5,7.6048708,116.8928438,185.0558439,18.05653684
2020,YR2020,Germany,DEU,..,46772.82535,-3.775429714,97517.56929,3.1,12.82248878,4651.754656,1278.577427,..
2020,YR2020,Ghana,GHA,..,2176.576218,-1.541636526,57.36410805,33.5,3.99029994,42.25899539,34.91092606,7.80847186
2020,YR2020,Greece,GRC,0.8,17658.9473,-8.808563835,8907.708383,3.4,9.50820732,904.0972016,768.4881338,2.53507824
2020,YR2020,Grenada,GRD,..,8437.536782,-14.41148694,525.6220535,14.6,5.82064009,193.041387,294.7067324,3.33393323
2020,YR2020,Guatemala,GTM,..,4609.897258,-3.273321968,106.653487,20.2,6.46871376,110.6632898,175.5978586,2.86541173
2020,YR2020,Guinea,GIN,..,1073.659339,2.317241012,6.73979317,65.4,4.0445075,11.23795,25.04625967,10.55771189
2020,YR2020,Guinea-Bissau,GNB,..,710.258133,-4.596719957,2.976444419,51.5,8.40978622,5.19703799,41.47132269,14.76358258
2020,YR2020,Guyana,GUY,..,6863.074346,43.75870325,60.21058653,23.9,5.50864172,275.8227274,96.47459134,5.76485185
2020,YR2020,Haiti,HTI,..,1283.141228,-4.55718544,7.694484054,46.7,3.22171094,5.55778436,25.12017276,13.50187878
2020,YR2020,Honduras,HND,..,2354.12148,-10.43019024,97.3150626,14.7,9.03509808,80.91521142,119.7441062,12.03801591
2020,YR2020,"Hong Kong SAR, China",HKG,..,46109.22999,-6.208755145,70629.59497,..,..,..,..,..
2020,YR2020,Hungary,HUN,0.4,16125.60941,-4.330016567,32813.03701,3.4,7.25031424,827.097988,336.148889,0
2020,YR2020,Iceland,ISL,..,58813.79698,-8.73526415,75513.76264,2.1,9.55796337,4695.709683,941.2249114,0
2020,YR2020,India,IND,14.7,1913.219721,-6.72629208,474.2939742,26.8,2.95919013,20.7535723,35.31583922,0.55928059
2020,YR2020,Indonesia,IDN,3.8,3895.618152,-2.885094093,1889.089365,19.5,3.41433048,73.19281921,59.10145488,0.66905389
2020,YR2020,"Iran, Islamic Rep.",IRN,..,2746.419483,2.470892267,2330.502351,11.2,5.33579969,309.0401324,264.3072253,0.05714769
2020,YR2020,Iraq,IRQ,..,4251.337253,-14.09023465,16.89499425,21.4,5.08489752,110.9361538,90.62607666,0.74744906
2020,YR2020,Ireland,IRL,0.1,85420.19086,5.097385401,115815.7991,2.8,7.10143661,4802.225146,1289.952342,..
2020,YR2020,Israel,ISR,..,44846.7916,-3.573037419,12351.79217,2.8,8.31950188,2739.292587,1083.165137,44.94667606
2020,YR2020,Italy,ITA,0.8,31918.69349,-8.534686345,20677.18301,2.4,9.63378334,2325.70251,731.3399824,..
2020,YR2020,Jamaica,JAM,..,4897.26477,-10.1128523,168.4136779,11,6.61175442,221.4858528,99.26043755,4.97427924
2020,YR2020,Japan,JPN,..,39986.92863,-3.996581849,22848.71813,1.8,10.9042511,3696.665209,691.4306774,..
2020,YR2020,Jordan,JOR,..,3987.650174,-3.677712354,126.7302917,12.9,7.4691391,148.4399471,136.1410188,14.06364068
2020,YR2020,Kazakhstan,KAZ,..,9121.636402,-3.757983454,3307.427206,9.1,3.78894091,225.9623881,115.5797005,..
2020,YR2020,Kenya,KEN,35,1936.250752,-2.256979503,247.6831164,29,4.29190731,39.52806631,28.94116983,14.92695698
2020,YR2020,Kiribati,KIR,..,1403.993738,-3.38537208,39.53725596,39.4,11.64184189,133.0044754,4.7263143,28.88693393
2020,YR2020,Kosovo,XKX,..,4310.932984,-5.406637944,..,9.6,..,..,..,..
2020,YR2020,Kuwait,KWT,..,24297.70114,-7.169356849,405.9219657,7.5,6.30743313,1377.789401,154.7707327,0
2020,YR2020,Kyrgyz Republic,KGZ,1.3,1182.521506,-10.12044553,421.1310202,15.9,5.25933695,28.55755256,29.29467755,5.84119608
2020,YR2020,Lao PDR,LAO,..,2593.355097,-0.970941437,52.46332383,35.4,2.6947608,29.26539819,28.53767167,10.48887896
2020,YR2020,Latvia,LVA,0.5,18207.13964,-1.514811398,20328.88018,3.3,7.44663048,833.2019561,477.9500088,2.20235723
2020,YR2020,Lebanon,LBN,..,5599.957523,-19.74842848,324.5673657,7.2,7.95365763,329.1777307,657.0990592,8.21318924
2020,YR2020,Lesotho,LSO,..,939.5042491,-6.808444709,66.54540615,58.4,11.78428555,55.36921801,16.03999094,35.68985521
2020,YR2020,Liberia,LBR,..,597.5296919,-4.933202273,6.093265487,58.2,9.49941349,9.46891471,29.07603316,18.16117601
2020,YR2020,Libya,LBY,..,7034.658365,-30.68253321,765.4109399,9.5,..,..,..,..
2020,YR2020,Liechtenstein,LIE,..,165284.4971,..,51604.91279,..,..,..,..,..
2020,YR2020,Lithuania,LTU,0.2,20363.92441,-0.048831011,47128.23605,2.9,7.53844357,1045.207763,468.3450424,8.61548071
2020,YR2020,Luxembourg,LUX,0,117370.4969,-2.436809269,44903.46896,2.3,5.76745605,5899.283545,773.687219,84.02957141
2020,YR2020,North Macedonia,MKD,..,5965.450232,-5.922295863,1022.903879,5.2,7.8894825,273.5721697,179.3942519,..
2020,YR2020,Madagascar,MDG,..,462.4042288,-9.414529773,10.1327974,45.3,3.87958431,6.64731881,7.38800552,3.91041335
2020,YR2020,Malawi,MWI,..,622.1845914,-1.85159978,16.72080198,32.1,5.43400049,11.95782499,9.07439395,11.9502591
2020,YR2020,Malaysia,MYS,..,10160.82935,-6.661116651,7306.176239,6.6,4.12441826,220.8614841,197.7544568,0.04673812
2020,YR2020,Maldives,MDV,..,7282.372916,-34.77655892,1123.556191,5.5,11.34723186,660.37954,151.1991784,13.99027889
2020,YR2020,Mali,MLI,..,822.9061375,-4.29096596,10.22425514,63,4.3081193,12.1822186,10.65483864,12.61453178
2020,YR2020,Malta,MLT,0.3,29196.97775,-10.61108026,14446.99728,5.2,10.83521566,2091.077209,1044.328102,0
2020,YR2020,Marshall Islands,MHL,..,5567.972727,1.131667361,1405.109069,25.6,13.00799465,356.1381598,46.76968846,328.1897566
2020,YR2020,Mauritania,MRT,..,1868.468248,-3.465477977,14.44892682,33,3.35572982,23.74109822,30.87191877,4.43623319
2020,YR2020,Mauritius,MUS,..,9005.462022,-14.59935427,914.6818282,14.9,6.65996122,292.4912989,266.8117185,1.10346095
2020,YR2020,Mexico,MEX,3.1,8654.997325,-8.654637261,330.2822287,11.8,6.2421484,284.7801309,253.6831541,0.11128153
2020,YR2020,"Micronesia, Fed. Sts.",FSM,..,3639.412699,-2.402459942,187.3227124,21.6,11.5599966,102.5478451,10.60835456,311.682543
2020,YR2020,Moldova,MDA,..,4376.242493,-7.263269768,5580.369849,12.5,6.77933121,198.7615402,98.4044484,9.48294639
2020,YR2020,Monaco,MCO,..,182537.3046,-12.70112125,20367.26071,1,1.67133093,2681.206024,404.2375101,..
2020,YR2020,Mongolia,MNG,..,4041.174145,-6.351240603,1726.29681,13.2,4.94451141,127.6949589,57.51443351,14.60692488
2020,YR2020,Montenegro,MNE,..,7677.369141,-15.20847458,783.8327652,2.1,11.42177582,541.0562746,325.1119698,..
2020,YR2020,Morocco,MAR,..,3258.10498,-8.172741448,442.0698518,16.1,5.99316072,81.57738293,101.8998726,3.92676643
2020,YR2020,Mozambique,MOZ,..,454.0623643,-4.027268749,29.4436129,52.5,7.61939621,10.88270742,5.53870475,17.86244655
2020,YR2020,Myanmar,MMR,..,1477.452905,2.434131087,14.31962197,34.7,4.62411975,11.49857135,56.39082009,4.2226698
2020,YR2020,Namibia,NAM,..,4252.041807,-9.66882124,218.5530662,30,8.8962574,187.8672694,172.3154298,19.35755992
2020,YR2020,Nauru,NRU,..,10124.7005,2.688329652,324.8071458,23.9,11.96898365,852.5265445,36.64176836,254.5732947
2020,YR2020,Nepal,NPL,..,1139.189892,-4.086568589,207.7098871,23.6,5.17351818,17.5239807,34.63486112,6.15158146
2020,YR2020,Netherlands,NLD,0,52162.57012,-4.418555509,136862.9992,3.5,11.1359272,4022.25785,1822.584563,1.37791251
2020,YR2020,New Zealand,NZL,..,41760.59478,-2.820322501,20509.41024,4,10.02858734,3241.860079,959.8129222,..
2020,YR2020,Nicaragua,NIC,..,1876.607372,-3.103558017,90.29151578,12.1,8.62854576,99.68291335,54.63320566,6.88370498
2020,YR2020,Niger,NER,..,564.8219973,-0.238156789,1.438338096,59.9,6.20069504,13.2246611,16.29702906,5.48542464
2020,YR2020,Nigeria,NGA,..,2074.613928,-4.16205929,73.16368195,72.3,3.38063431,10.44123705,52.63506724,6.68554547
2020,YR2020,"Korea, Dem. People's Rep.",PRK,..,..,..,0.077317195,11.6,..,..,..,..
2020,YR2020,Norway,NOR,..,68340.0181,-1.857696109,39030.01687,1.8,11.41755009,6604.041067,1100.404913,0
2020,YR2020,Oman,OMN,..,16707.62301,-2.11716851,261.9184448,8.9,5.32572365,762.2667542,82.34982267,0
2020,YR2020,Pakistan,PAK,..,1322.314783,-2.97029465,71.71317655,54.4,2.95390352,13.44074516,22.32724062,2.40909992
2020,YR2020,Palau,PLW,..,14016.2475,-9.390425024,945.9158691,15.7,18.39064217,1939.54168,689.5582239,10.99905408
2020,YR2020,Panama,PAN,..,13293.33321,-18.85438221,1483.561367,12.4,9.66291618,736.8688972,474.3536955,3.32582973
2020,YR2020,Papua New Guinea,PNG,..,2446.084413,-5.224817586,..,35.4,2.52693653,43.52506035,5.60431712,14.79704799
2020,YR2020,Paraguay,PRY,0.8,5353.348045,-2.148477897,512.3366464,16.1,7.57704258,220.3925972,185.2172544,0.0155991
2020,YR2020,Peru,PER,5.9,6063.62658,-12.15393825,450.9866399,11.3,6.30416107,263.8792857,123.8224788,0.84377071
2020,YR2020,Philippines,PHL,..,3224.422811,-10.97819414,110.9180108,21,5.11274004,73.52197474,89.98811457,1.22697766
2020,YR2020,Poland,POL,..,15816.8204,-1.848440388,25181.38308,3.7,6.49310207,737.6238427,287.7373373,0.62366348
2020,YR2020,Portugal,PRT,0.5,22242.40642,-8.396854511,22178.90682,2.7,10.54930592,1509.119554,830.7401727,1.76389733
2020,YR2020,Puerto Rico,PRI,..,31427.42911,-6.767756465,444.9107543,..,..,..,..,..
2020,YR2020,Qatar,QAT,..,52315.66008,-2.005009486,451.7485785,4.8,4.18303919,1731.615701,456.7672712,0
2020,YR2020,"Congo, Rep.",COG,..,1838.448124,-8.400600152,8.067098619,32.9,4.46762228,34.88469917,37.03744055,8.88620932
2020,YR2020,Romania,ROU,1.4,13047.45768,-3.145541561,21374.33981,5.5,6.27236223,648.295804,160.049957,1.24327697
2020,YR2020,Russian Federation,RUS,0,10194.44141,-2.451026929,13347.62339,4.4,7.59624338,545.9502293,227.92804,0
2020,YR2020,Rwanda,RWA,..,773.8205575,-5.662297223,80.70673849,30.4,7.3156209,23.00204753,13.76928442,20.72396014
2020,YR2020,St. Kitts and Nevis,KNA,..,18566.01785,-14.40495012,6947.651232,12.6,5.36557055,565.3973962,539.5447692,0
2020,YR2020,St. Lucia,LCA,..,8458.075063,-24.64168662,384.9651579,22.1,6.7380271,256.4698621,267.5743748,83.70828858
2020,YR2020,St. Martin (French part),MAF,..,..,..,460.7870242,..,..,..,..,..
2020,YR2020,St. Vincent and the Grenadines,VCT,..,8306.367581,-3.470755412,133.8022785,13,4.81775093,271.930114,117.6039411,12.07629854
2020,YR2020,Samoa,WSM,..,4042.722715,-4.471685199,474.5753249,14.7,5.32613707,146.5768075,24.65769255,31.19970189
2020,YR2020,San Marino,SMR,..,45321.48922,-6.178501365,96362.5136,1.6,8.69089031,3518.502995,419.152897,..
2020,YR2020,Sao Tome and Principe,STP,..,2161.310201,1.119960636,32.01595309,12.8,4.90671349,54.17565108,23.67253829,29.07571325
2020,YR2020,Saudi Arabia,SAU,..,20398.06099,-4.79246757,221.6011414,6,..,..,..,..
2020,YR2020,Senegal,SEN,..,1492.475904,-1.342145925,26.83114993,30,5.15119171,25.66122521,38.21287157,12.90590489
2020,YR2020,Serbia,SRB,1.6,7733.803494,-0.240923959,9361.18575,4.8,8.73161697,408.4436549,256.4710742,5.13320465
2020,YR2020,Seychelles,SYC,..,12020.02191,-9.425755928,61109.8698,12.2,6.38917351,614.1926134,111.0990966,1.61648769
2020,YR2020,Sierra Leone,SLE,..,493.4322524,-4.196551048,6.315301124,80.5,8.75637054,6.71244401,24.41802931,12.07627975
2020,YR2020,Singapore,SGP,..,61274.00646,-3.600848086,128377.7307,1.8,6.05388212,1853.749205,1683.246918,0
2020,YR2020,Slovak Republic,SVK,..,19551.62116,-3.419117124,25918.38869,4.7,7.23213387,1118.681227,274.9432543,..
2020,YR2020,Slovenia,SVN,0,25545.241,-4.960040833,49112.47473,1.8,9.45357895,1754.279248,657.5268597,5.40236523
2020,YR2020,Solomon Islands,SLB,..,2222.462143,-5.645371054,62.21145819,16.6,4.43218184,80.53777899,3.72825107,14.86217781
2020,YR2020,Somalia,SOM,..,416.2177747,-0.954716484,4.293398519,72.9,..,..,..,..
2020,YR2020,South Africa,ZAF,..,5741.641249,-7.481092762,14546.10493,26.9,8.58329773,304.0861488,178.9930239,6.56440641
2020,YR2020,"Korea, Rep.",KOR,..,31721.29802,-0.846212238,5939.011123,2.6,8.36409569,1612.221806,1030.192713,0
2020,YR2020,South Sudan,SSD,..,..,..,4.337074815,63.8,5.25355768,2.6339734,9.47066139,21.12975868
2020,YR2020,Spain,ESP,0.9,26959.67544,-11.75755913,21586.54831,2.6,10.71374989,2125.072067,775.5742918,..
2020,YR2020,Sri Lanka,LKA,..,3852.389968,-5.129263121,384.2328573,6,4.06584978,69.1970072,79.17571879,2.68327427
2020,YR2020,Sudan,SDN,..,608.3325195,-6.250228079,6.345565168,39.9,3.01747656,7.99537976,13.78559216,1.61355861
2020,YR2020,Suriname,SUR,..,4796.533314,-16.91141207,6859.232537,15.8,6.77187824,297.0357908,157.6233254,4.90361327
2020,YR2020,Sweden,SWE,0.4,52837.90398,-2.87468419,32739.74008,2.1,11.37992764,5178.579892,849.3876908,..
2020,YR2020,Switzerland,CHE,..,85656.32267,-3.086282111,120002.3107,3.4,11.79635048,3676.76569,6632.996891,0
2020,YR2020,Syrian Arab Republic,SYR,..,537.2113614,-6.99424539,33.02428031,18.8,..,..,..,..
2020,YR2020,Tajikistan,TJK,..,852.3302296,2.144186247,92.21218821,28.5,8.17697811,18.33427557,45.49872231,5.86189225
2020,YR2020,Tanzania,TZA,..,1104.164429,-1.019582809,36.96649895,34.9,3.74659801,16.84192762,9.41640032,13.05050443
2020,YR2020,Thailand,THA,0,7001.785413,-6.287580891,1863.333512,7.4,4.35930967,214.672415,90.17390617,0.24159757
2020,YR2020,Timor-Leste,TLS,..,1660.308309,29.92997972,91.53881361,44.3,9.85141468,66.81482286,8.07924646,45.97567266
2020,YR2020,Togo,TGO,..,875.2454099,-0.433796943,25.93993779,44.5,5.96301126,11.16012368,36.94712339,5.39255372
2020,YR2020,Tonga,TON,..,4605.970878,0.19936359,560.5487677,9.8,5.31753922,141.64198,21.60352723,84.7940813
2020,YR2020,Trinidad and Tobago,TTO,..,13871.79822,-7.568382946,313.5401249,15,7.31458092,476.3968767,553.9460307,0.36947581
2020,YR2020,Tunisia,TUN,..,3497.733231,-9.660661575,319.1981926,14.3,6.34364796,130.1085834,90.38753996,1.18855449
2020,YR2020,Turkiye,TUR,..,8561.064333,1.147943989,6776.075353,8.1,4.61794329,311.6287986,83.61160417,..
2020,YR2020,Turkmenistan,TKM,..,7297.180042,..,45.75679336,36.5,5.68487024,85.78990016,397.114549,0.83567375
2020,YR2020,Tuvalu,TUV,..,4674.909088,-5.252060333,271.0271931,18.7,21.53916931,899.6978375,25.87884427,145.7330985
2020,YR2020,Uganda,UGA,..,846.8811992,-0.423316497,35.42424907,32.1,3.96206594,5.75478483,14.21907482,13.92752139
2020,YR2020,Ukraine,UKR,0,3751.737305,-3.101658589,8952.496178,7.1,7.61658287,132.9386631,136.7903063,..
2020,YR2020,United Arab Emirates,ARE,..,37629.17417,-5.731044522,1496.776939,5.6,5.67226824,1336.701538,855.1120943,0
2020,YR2020,United Kingdom,GBR,0.5,40318.41692,-11.35567606,36452.44511,3.7,11.97759342,4123.349627,802.6307191,0.65154553
2020,YR2020,United States,USA,0.2,63528.6343,-3.700952528,140803.8886,5.4,18.81582642,6643.357686,5059.05114,0
2020,YR2020,Uruguay,URY,0.2,15650.49943,-6.281483198,1947.166096,5.4,9.15207481,1025.796858,403.7159889,0
2020,YR2020,Uzbekistan,UZB,..,1759.307471,0.053822233,468.6835875,13.2,6.74741459,55.62172141,64.82445731,0.05826246
2020,YR2020,Vanuatu,VUT,..,2917.756849,-7.211878534,359.3371513,20.3,3.96995449,75.05039782,11.49041977,27.68880427
2020,YR2020,"Venezuela, RB",VEN,..,..,..,194.1352073,21.1,3.81606245,62.59096285,79.72416026,0.14347364
2020,YR2020,Viet Nam,VNM,0.7,3586.347297,1.937355342,3127.957716,16.6,4.68066788,74.99471991,89.8672161,1.36990087
2020,YR2020,Virgin Islands (U.S.),VIR,..,39552.1686,-1.798090794,649.1673723,..,..,..,..,..
2020,YR2020,"Yemen, Rep.",YEM,..,583.8756629,..,5.234783769,45.8,..,..,..,..
2020,YR2020,Zambia,ZMB,..,956.8317475,-5.59573306,39.36027143,41.1,5.61788416,23.36391858,7.74727054,22.64247137
2020,YR2020,Zimbabwe,ZWE,..,1372.696674,-9.670404777,70.64604951,36.6,3.42558146,11.19550347,11.26707487,28.21393346
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,
Last Updated: 10/26/2023,,,,,,,,,,,,
